Exercise Name,Equipment,Mechanics,Preparation,Execution,Main_muscle,Difficulty (1-5),Secondary Muscles
Seated Pronation,Dumbbell,Isolated,"Sit next to elevated surface, approximately arm pit height. With hand of upper arm, grasp unilaterally loaded dumbbell; pinkie positioned near weighted side. Bend elbow approximately 90-degrees and place upperarm on elevated surface. Position thumb upward (supinated).",Rotate dumbbell so thumb turns downward (pronation). Return and repeat.,Forearm,1,Brachioradialis
Seated Pronation,Lever (selectorized),Isolated,Sit on seat. Grasp rotating handles with underhand grip on each side and place forearms on pads.,Rotate shafts by turning palm downward. Return and repeat.,Forearm,1,Brachioradialis
Seated Supination,Dumbbell,Isolated,"Sit next to elevated surface, approximately arm pit height. With hand of arm next to elevated surface, grasp unilaterally loaded dumbbell; thumb next to side with weight. Bend elbow approximately 90-degrees and place upperarm on elevated surface. Position thumb downward (pronated).",Rotate dumbbell so thumb turns upward (supination). Return and repeat.,Forearm,1,Biceps Brachii
Seated Supination,Lever (selectorized),Isolated,Sit on seat. Grasp rotating handles with overhand grip on each side and place forearms on pads.,Rotate shafts by turning palm upward. Return and repeat.,Forearm,1,Biceps Brachii
Bent-over Row,Barbell,Compound,Bend knees slightly and bend over bar with back straight. Grasp bar with wide overhand grip.,Pull bar to upper waist. Return until arms are extended and shoulders are stretched downward. Repeat.,Back,3,"Biceps Brachii, Trapezius, Rhomboids"
Bent-over Row:  Underhand,Barbell,Compound,Bend knees slightly and bend over bar with back straight. Grasp bar with underhand grip.,Pull bar to waist. Return until arms are extended and shoulders are stretched downward. Repeat.,Back,3,"Biceps Brachii, Trapezius, Rhomboids"
One Arm Bent-over Row,Cable,Compound,"Grasp cable stirrup. Step back away from pulley, with foot on same side as exercising arm, positioned out to side well behind forward foot. Bend over with hand on nearby bar or above knee for support. Keep back straight and knees slightly bent. Allow shoulder with stirrup to be pulled forward.","Pull cable attachment to side of torso, pulling shoulder back. Return until arm is extended and shoulder is stretched forward. Repeat. Continue with opposite arm.",Back,3,"Biceps Brachii, Trapezius, Rhomboids"
One Arm Straight Back Seated High Row,Cable,Compound,Sit on seat or bench. Bend forward and grasp cable stirrup with one hand. Position torso upright allowing shoulder to be pulled forward under weight on cable.,"Pull cable attachment to side of torso while pulling shoulder back, arching spine, and pushing chest forward. Return until arm is extended and shoulder is pulled forward. Repeat. Continue with opposite arm.",Back,3,"Biceps Brachii, Trapezius, Rhomboids"
Seated Row,Cable,Compound,Sit slightly forward on seat or bench in order to   grasp cable attachment. Place feet on vertical platform. Slide hips back positioning knees with slight bend.,"Pull cable attachment to waist while straightening lower back. Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.",Back,2,"Biceps Brachii, Trapezius, Rhomboids"
Seated Row:  Straight Back,Cable,Compound,Sit slightly forward on bench with feet on foot bar or vertical platform. Grasp close grip cable attachment. Straighten torso   upright and slide hips back so knees are slightly bent.,"Pull cable attachment to waist. Pull shoulders back and lift chest by arching back. Return until arms are extended, back is straight, and shoulders are stretched forward. Repeat.",Back,2,"Biceps Brachii, Trapezius, Rhomboids"
Seated Wide Grip Row,Cable,Compound,"Sit slightly forward on platform in order to grasp cable attachment. With awider than shoulder width grip, slide hips back positioning knees with slight bend.","Pull cable attachment to waist while pulling torso upright.   Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.",Back,2,"Latissimus Dorsi, Trapezius, Rhomboids"
Seated Wide Grip Row:  Straight Back,Cable,Compound,"Sit slightly forward on bench or platform in order to grasp cable bar attachment. With wider than shoulder width overhand grip, straighten torso upright and slide hips back until knees are only   slightly bent.","Pull cable attachment to waist. Pull shoulders back and lift chest by arching back. Return until arms are extended, back is straight, and shoulders are stretched forward. Repeat.",Back,2,"Latissimus Dorsi, Trapezius, Rhomboids"
Bent-over Row,Dumbbell,Compound,Kneel over side of bench by placing knee and hand of supporting arm on bench. Position foot of opposite leg slightly back to side. Grasp dumbbell from floor.,Pull dumbbell to up to side until it makes contact with ribs or until upper arm is just beyond horizontal. Return until arm is extended and shoulder is stretched downward. Repeat and continue with opposite arm.,Back,3,"Biceps Brachii, Trapezius, Rhomboids"
Lying Row,Dumbbell,Compound,Lie chest down on elevated bench. Grasp dumbbells below.,Pull dumbbells to sides until upper arm is just beyond horizontal or height of back. Return until arms are extended and shoulders are stretched downward. Repeat.,Back,2,"Biceps Brachii, Trapezius, Rhomboids"
Incline Row,Lever (plate loaded),Compound,Lie chest on inclined platform and grasp lever handles with overhand grip.,Pull lever up as high as possible. Return until arms are extended and shoulders are stretched downward. Repeat.,Back,3,"Biceps Brachii, Trapezius, Rhomboids"
Incline Row:  Close Grip,Lever (plate loaded),Compound,Lie chest on inclined platform and grasp lever close grip handles.,Pull lever up as high as possible. Return until arms are extended and shoulders are stretched downward. Repeat.,Back,3,"Biceps Brachii, Brachialis, Trapezius"
Seated Rows,Lever (plate loaded),Compound,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2,"Biceps Brachii, Trapezius, Rhomboids"
Seated Rows:  Narrow Grip,Lever (plate loaded),Compound,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2,"Biceps Brachii, Brachialis, Trapezius"
"Seated Rows:  Wide Grip

Low Bar",Lever (plate loaded),Compound,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2,"Latissimus Dorsi, Trapezius, Rhomboids"
Seated Rows (Others),Lever (plate loaded),Compound,Sit on seat and position chest against pad. Grasp lever handles with overhand/neutral grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2,"Biceps Brachii, Trapezius, Rhomboids"
Seated Rows (Others):  Seated Low Row,Lever (plate loaded),Compound,Sit on seat and position chest against pad. Grasp lever handles with overhand/neutral grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2,"Biceps Brachii, Trapezius, Rhomboids"
Seated Rows (Others):  Seated High Row,Lever (plate loaded),Compound,Sit on seat and position chest against pad. Grasp lever handles with overhand grip.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2,"Biceps Brachii, Trapezius, Rhomboids"
T-bar Row,Lever (plate loaded),Compound,Sit on seat and position chest against pad. Grasp lever handles with overhand grip.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,3,"Biceps Brachii, Trapezius, Rhomboids"
T-bar Row:  Close grip,Lever (plate loaded),Compound,Sit on seat and position chest against pad. Grasp lever handles with overhand grip.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,3,"Biceps Brachii, Brachialis, Trapezius"
Seated Row,Lever (selectorized),Compound,Sit on seat and position chest against pad. Push foot lever if available. Grasp narrower parallel grip handles.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2,"Biceps Brachii, Trapezius, Rhomboids"
Seated Row:  Wide Grip,Lever (selectorized),Compound,Sit on seat and position chest against pad. Grasp outer lever handles with overhand grip.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2,"Latissimus Dorsi, Trapezius, Rhomboids"
Seated Row (no chest pad),Lever (selectorized),Compound,Sit on seat and grasp handles with each hand. Place feet on vertically angled platform. Slide hips back with knees slightly bent.,"Pull handles to waist while straightening torso upright. Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.",Back,3,"Biceps Brachii, Trapezius, Rhomboids"
Seated Row (no chest pad):  Straight Back,Lever (selectorized),Compound,Sit on seat and grasp handles with each hand. Place feet on vertically angled platform. Slide hips back with knees slightly bent.,"Pull handles to waist while straightening torso upright. Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.",Back,3,"Biceps Brachii, Trapezius, Rhomboids"
Underhand Seated Row,Lever (selectorized),Compound,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2,"Biceps Brachii, Brachialis, Trapezius"
Bent-over Row,Smith,Compound,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,3,"Biceps Brachii, Trapezius, Rhomboids"
Inverted Row,Weighted,Compound,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,3,"Biceps Brachii, Trapezius, Rhomboids"
Inverted Row,Body Weight,Compound,Lay on back under fixed horizontal bar. Grasp bar with wide overhand grip.,"Keeping body straight, pull body up to bar. Pull shoulders back at top of movement with chest high. Return until arms are extended and shoulders are stretched forward. Repeat.",Back,3,"Biceps Brachii, Trapezius, Rhomboids"
Inverted Row:  Feet Elevated,Body Weight,Compound,Lay on back under fixed horizontal bar. Grasp bar with wide overhand grip. Place back of heels on elevated surface.,"Keeping body straight, pull body up to bar. Pull shoulders back at top of movement with chest high. Return until arms are extended and shoulders are stretched forward. Repeat.",Back,4,"Biceps Brachii, Trapezius, Rhomboids"
Inverted Row:  High Bar,Body Weight,Compound,"Stand facing arms length away from waist to head height horizontal bar. Grasp bar with wide overhand grip. Position body under bar with legs, hips and spine straight. Arms should be straight, approximately perpendicular to body. Heels should make contact with floor.","Keeping body straight, pull body up to bar. Pull shoulders back at top of movement with chest high. Return until arms are extended and shoulders are stretched forward. Repeat.",Back,3,"Biceps Brachii, Trapezius, Rhomboids"
Inverted Row:  On Hips,Body Weight,Compound,Lay on back with belly under fixed horizontal bar. Bend knees and position feet on floor. Grasp bar with wide overhand grip.,"Keeping hips on floor and low back straight, pull torso up to bar. Pull shoulders back at top of movement with chest high. Return until arms are extended and shoulders are stretched forward. Repeat.",Back,3,"Biceps Brachii, Trapezius, Rhomboids"
Inverted Row,Suspended,Compound,"Position suspension handles higher than arms' length above floor. Sit on floor and grasp handles. Position body supine hanging from handles with arms straight, shoulders under handles, body straight, and back of heels on floor.",Pull body up so sides of chest make contact with handles while keeping body straight. Pull shoulders back at top of movement with chest high. Return until arms are extended straight and shoulders are stretched forward. Repeat.,Back,3,"Biceps Brachii, Trapezius, Rhomboids"
Inverted Row:  One Arm,Suspended,Compound,"Position suspension handles higher than arms' length above floor. Sit on floor and grasp handles. Position body supine hanging from handles with arms straight, shoulders under handles, body straight, and back of heels on floor.",Pull body up so sides of chest make contact with handles while keeping body straight. Pull shoulders back at top of movement with chest high. Return until arms are extended straight and shoulders are stretched forward. Repeat.,Back,4,"Biceps Brachii, Trapezius, Rhomboids"
Row,Suspended,Compound,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle, hanging from handles with arms straight.",Pull body up so sides of chest make contact with handles while keeping body and legs straight. Pull shoulders back at top of movement with chest high. Return until arms are extended straight and shoulders are stretched forward. Repeat.,Back,2,"Biceps Brachii, Trapezius, Rhomboids"
Row:  One Arm,Suspended,Compound,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle, hanging from handles with arms straight.",Pull body up so sides of chest make contact with handles while keeping body and legs straight. Pull shoulders back at top of movement with chest high. Return until arms are extended straight and shoulders are stretched forward. Repeat.,Back,3,"Biceps Brachii, Trapezius, Rhomboids"
Pull-up (open-centered bar),Assisted (machine),Compound,Step up and grasp bar with wide overhand grip. Kneel on padded platform and lower body down with arm extended.,Pull body up until neck reaches height of hands. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Trapezius, Rhomboids"
Pull-up (open-centered bar):  Standing,Assisted (machine),Compound,Step up and grasp bar with wide overhand grip. Step down onto assistance lever or platform.,Pull body up until neck reaches height of hands. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Trapezius, Rhomboids"
Parallel Close Grip Pull-up,Assisted (machine),Compound,Step up and grasp parallel grips. Kneel on padded platform and lower body down with arm extended.,Pull body up until elbows are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Brachialis, Trapezius"
Pullover,Barbell,Isolated,Lie upper back perpendicular on bench. Flex hips slightly. Grasp barbell from behind and position over chest with elbows bent slightly.,"With elbows bent slightly, lower bar over and beyond head until shoulders are fully flexed or upper arms are approximately parallel to torso. Return and repeat.",Back,2,"Latissimus Dorsi, Pectoralis Major Sternal, Pectoralis Major Clavicular"
Bent-over Pullover,Cable,Isolated,Face high pulley and grasp revolving cable attachment with arm slightly bent. Place one foot slightly back and bend over at hip until shoulder is fully flexed (upper arms at sides of head).,"With elbows fixed approximately 30°, pull cable attachment down until upper arms are to sides. Return attachment overhead. Repeat.",Back,3,"Latissimus Dorsi, Pectoralis Major Sternal, Pectoralis Major Clavicular"
Close Grip Pulldown,Cable,Compound,Grasp parallel cable attachment. Sit with thighs under supports.,Pull down cable attachment to upper chest. Return until arms and shoulders are fully extended. Repeat.,Back,2,"Biceps Brachii, Brachialis, Trapezius"
Pulldown,Cable,Compound,Grasp cable bar with wide grip. Sit with thighs under supports.,Pull down cable bar to upper chest. Return until arms and shoulders are fully extended. Repeat.,Back,2,"Biceps Brachii, Trapezius, Rhomboids"
Pulldown:  Parallel Grip Pulldown,Cable,Compound,Grasp cable bar with wide grip. Sit with thighs under supports.,Pull down cable bar to upper chest. Return until arms and shoulders are fully extended. Repeat.,Back,2,"Biceps Brachii, Brachialis, Trapezius"
Pullup/Chinup,Cable,Compound,Place dip belt around waist. Kneel close to low pulley or lever and attach hook to dip belt chains. Step up and grasp bars with shoulder width underhand grip. Lift legs off of steps or floor.,Pull body up until elbow are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Trapezius, Rhomboids"
Pullup/Chinup:  Chinup,Cable,Compound,Place dip belt around waist. Kneel close to low pulley or lever and attach hook to dip belt chains. Step up and grasp bars with shoulder width underhand grip. Lift legs off of steps or floor.,Pull body up until elbow are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Brachialis, Trapezius"
Pullup/Chinup:  Parallel Close Grip Pull-up,Cable,Compound,Place dip belt around waist. Kneel as close as possible to low pulley or lever and attach hook to dip belt in front between legs. Step up and grasp close grip p   arallel bars with hands facing inward. Lift legs off of steps or floor.,Pull body up until elbow are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Brachialis, Trapezius"
Pullup/Chinup:  Parallel Grip Pull-up,Cable,Compound,Place dip belt around waist. Kneel as close as possible to low pulley or lever and attach hook to dip belt in front between legs. Step up and grasp parallel bars with hands facing inward. Lift legs off of steps or floor.,Pull body up until elbow are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Brachialis, Trapezius"
Pullup/Chinup:  Pull-up,Cable,Compound,Place dip belt around waist. Kneel close to low pulley or lever and attach hook to dip belt. Step up and grasp bars with overhand wide grip. Lift legs off of steps or floor.,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Trapezius, Rhomboids"
Underhand Pulldown,Cable,Compound,Grasp cable bar with underhand grip. Sit with thighs under supports.,Pull down cable bar to upper chest until elbows are to sides. Return until arms and shoulders are fully extended. Repeat.,Back,2,"Biceps Brachii, Brachialis, Trapezius"
Pulldown,Lever (plate loaded),Compound,Grasp handles to each side with overhand grip. Sit on seat and position thighs under leg pads.,Pull levers down to sides of shoulders. Return until arms and shoulders are fully extended. Repeat.,Back,2,"Biceps Brachii, Trapezius, Rhomboids"
Underhand Pulldown,Lever (plate loaded),Compound,Grasp lever handles with underhand grip. Sit with thighs under supports.,Pull down lever handles toward sides until elbows are to sides. Return until arms and shoulders are fully extended. Repeat.,Back,2,"Biceps Brachii, Brachialis, Trapezius"
Close Grip Pulldown,Lever (selectorized),Compound,Grasp parallel lever bars. Sit with thighs under supports.,Pull down handles to sides of chest while leaning back slightly. Return until arms and shoulders are fully extended. Repeat.,Back,2,"Biceps Brachii, Brachialis, Trapezius"
Front Pulldown,Lever (selectorized),Compound,Grasp lever handles. Sit with thighs under supports.,Pull down lever to upper chest. Return until arms and shoulders are fully extended. Repeat.,Back,2,"Biceps Brachii, Trapezius, Rhomboids"
Pulldown,Lever (selectorized),Compound,Sit on seat. Reach up and grasp handles with wide overhand grip.,Pull levers down to sides of shoulders. Return until arms and shoulders are fully extended. Repeat.,Back,2,"Biceps Brachii, Trapezius, Rhomboids"
Pullover,Lever (selectorized),Isolated,Adjust seat height so lever is near shoulder axis. Sit on machine and push foot lever. Place elbows on pads and grasp bar from behind. Release foot lever and place feet on platform or to sides.,"Pull lever forward and down until elbows are to sides. Return until shoulders are fully flexed, or upper arms are parallel to torso. Repeat.",Back,2,"Latissimus Dorsi, Pectoralis Major Sternal, Pectoralis Major Clavicular"
Chin-up,Weighted,Compound,Step up and grasp bar with underhand shoulder width grip.,Pull body up until elbows are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Brachialis, Trapezius"
Parallel Close Grip Pull-up,Weighted,Compound,Step up and grasp close grip parallel bars.,Pull body up until elbow are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Brachialis, Trapezius"
Pull-up,Weighted,Compound,Step up and grasp bar with overhand wide grip.,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Trapezius, Rhomboids"
Archer Pull-up,Band-assisted,Compound,Step up and grasp bar with overhand wide grip.,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,5,"Biceps Brachii, Trapezius, Rhomboids"
Chin-up,Band-assisted,Compound,Step up and grasp bar with overhand wide grip.,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Brachialis, Trapezius"
Pull-up,Band-assisted,Compound,Step up and grasp bar with overhand wide grip.,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Trapezius, Rhomboids"
Pull-up:  Parallel Grip,Band-assisted,Compound,Step up and grasp bar with overhand wide grip.,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Brachialis, Trapezius"
Archer Pull-up,Body Weight,Compound,Step up and grasp bar with overhand wide grip.,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,5,"Biceps Brachii, Trapezius, Rhomboids"
Chin-up,Body Weight,Compound,Step up and grasp bar with underhand shoulder width grip.,Pull body up until elbows are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Brachialis, Trapezius"
One Arm Pull-up New!,Body Weight,Compound,Step up and grasp bar with underhand shoulder width grip.,Pull body up until elbows are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,5,"Biceps Brachii, Trapezius, Rhomboids"
Parallel Close Grip Pull-up,Body Weight,Compound,Step up and grasp parallel bars.,Pull body up until elbow are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Brachialis, Trapezius"
Pull-up,Body Weight,Compound,Step up and grasp bar with overhand wide grip.,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Trapezius, Rhomboids"
Chin-up,Assisted (partner),Compound,Step up and grasp bar with underhand shoulder width grip. Bend knees so partner can assist from behind.,Pull body up until elbows are to sides or chin is just above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Brachialis, Trapezius"
Pull-up,Assisted (partner),Compound,Step up and grasp bar with wide overhand grip. Bend knees so partner can assist from behind.,Pull body up until chin is just above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Trapezius, Rhomboids"
Chin-up,Self-assisted,Compound,"Stand facing fixed horizontal bar at neck height. Grasp bar with underhand grip shoulder width. Position feet forward on floor, slightly in front of bar.","Lower body under bar until arms and shoulders are fully extended. If necessary, use minimal assistance of lower body to control descent, allowing knees and hips to bend, keeping flat on floor. Pull body up until elbows are to sides, again with minimal assistance from lower body. Repeat.",Back,4,"Biceps Brachii, Brachialis, Trapezius"
Pull-up,Self-assisted,Compound,"Stand facing fixed horizontal bar at neck height. Grasp bar with wide overhand grip. Position feet forward on floor, slightly in front of bar.","Lower body under bar until arms and shoulders are fully extended. If necessary, use minimal assistance of lower body to control descent, allowing knees and hips to bend, keeping flat on floor. Pull body up until chin is just above bar, again with minimal assistance from legs. Repeat.",Back,4,"Biceps Brachii, Trapezius, Rhomboids"
Pull-up,Suspension,Compound,Grasp high suspension handles.,Pull body up until neck reaches height of hands. Lower body until arms and shoulders are fully extended. Repeat.,Back,4,"Biceps Brachii, Trapezius, Rhomboids"
Pull-up:  Self-assisted,Suspension,Compound,"Stand facing suspension handles placed at neck height. Grasp handles and position feet forward on floor, slightly in front of handles.","Lower body under handles until arms and shoulders are fully extended. If necessary, use minimal assistance of lower body to control descent, allowing knees and hips to bend, keeping flat on floor. Pull body up until chin is just above handles, again with minimal assistance from legs. Repeat.",Back,3,"Biceps Brachii, Trapezius, Rhomboids"
Shrug,Barbell,Isolated,Stand holding barbell with overhand or mixed grip; shoulder width or slightly wider.,Elevate shoulders as high as possible. Lower and repeat.,Back,1,Levator Scapulae
Trap Bar Shrug,Barbell,Isolated,Step into trap barbell and stand holding handles of trap bar to sides.,Elevate shoulders as high as possible. Lower and repeat.,Back,2,Levator Scapulae
Shrug,Cable,Isolated,Stand facing low pulley and grasp cable bar with shoulder width or slightly wider overhand grip. Stand close to pulley.,"With arms straight, elevate shoulders as high as possible. Lower and repeat.",Back,1,Levator Scapulae
Shrug with Stirrups,Cable,Isolated,Stand between two low pulleys and grasp stirrups to each side. Stand upright with arms straight down to each side.,"With arms straight, elevate shoulders as high as possible. Lower and repeat.",Back,1,Levator Scapulae
Shrug,Dumbbell,Isolated,Stand holding dumbbells to sides.,Elevate shoulders as high as possible. Lower and repeat.,Back,1,Levator Scapulae
Seated Shrug,Lever (plate loaded),Isolated,Sit on bench and grasp lower handles to each side. Sit upright.,Elevate shoulders as high as possible. Lower and repeat.,Back,1,Levator Scapulae
Shrug,Lever (plate loaded),Isolated,Stand between lever handles to sides. Squat down with feet flat on floor and grasp upper handles to sides. Stand upright by extending hips and knees to full extension.,Elevate shoulders as high as possible. Lower and repeat.,Back,1,Levator Scapulae
Shrug,Lever (selectorized)​​​​​​​,Isolated,Stand holding lever bar with shoulder width overhand or mixed grip.,Elevate shoulders as high as possible. Lower and repeat.,Back,1,Levator Scapulae
Gripless Shrug,Sled,Isolated,Stand with shoulders under padded bar.,Elevate shoulders as high as possible. Lower and repeat.,Back,1,Levator Scapulae
Shrug,Smith,Isolated,Stand grasping smith bar with shoulder width or slightly wider overhand grip. Disengage bar by rotating bar back.,Elevate shoulders as high as possible. Lower and repeat.,Back,1,Levator Scapulae
Inverted Shrug,Body Weight,Isolated,"Stand between parallel bars. Squat down and grasp parallel bars from above. Kick legs up inverting and balancing body upside down. Legs can be kept bent or straight, positioned vertically.",Raise body up a high as possible by pulling shoulders toward ears. Lower body to original position and repeat.,Back,2,Levator Scapulae
Inverted Shrug,Suspended,Isolated,"Grasp gymnastics rings, one in each hand. Sit on mat between parallel bars. Kick legs up inverting and balancing body upside down.",Raise body up a high as possible by pulling shoulders toward ears. Lower body to original position and repeat.,Back,2,Levator Scapulae
Seated Shoulder External Rotation,Cable,Isolated,Stand with side to elbow height cable pulley. Grasp stirrup attachment with far arm. Position elbow against side and forearm across belly.,Pull cable attachment away from body as far as possible by externally rotating shoulder. Return and repeat. Turn around and continue with opposite arm.,Back,1,"Infraspinatus, Teres Minor"
Seated Shoulder External Rotation:  Standing,Cable,Isolated,Stand with side to elbow height cable pulley. Grasp stirrup attachment with far arm. Position elbow against side and forearm across belly.,Pull cable attachment away from body as far as possible by externally rotating shoulder. Return and repeat. Turn around and continue with opposite arm.,Back,1,"Infraspinatus, Teres Minor"
Lying Shoulder External Rotation,Dumbbell,Isolated,Lie on side with legs separated for support. Grasp dumbbell and position elbow against side and forearm across belly.,Lift dumbbell by rotating shoulder. Return and repeat. Flip over and continue with opposite arm.,Back,1,"Infraspinatus, Teres Minor"
Upright Shoulder External Rotation (with support),Dumbbell,Isolated,"Stand or sit with side against chest height platform. With dumbbell in hand, position upper arm horizontally on platform, elbow bent so forearm is upright.",Lower dumbbell forward by rotating shoulder. Return and repeat. Continue with opposite arm.,Back,1,"Infraspinatus, Teres Minor"
Shoulder External Rotation,Lever (plate loaded),Isolated,"Stand or sit with side against chest height platform. With dumbbell in hand, position upper arm horizontally on platform, elbow bent so forearm is upright.",Lower dumbbell forward by rotating shoulder. Return and repeat. Continue with opposite arm.,Back,1,"Infraspinatus, Teres Minor"
Shoulder External Rotation,Lever (selectorized),Isolated,Place elbow on forearm pad and grasp handle with upper arm to side of body and forearm against body.,Pull lever away from body. Return and repeat. Adjust lever to opposite side and repeat with other arm.,Back,1,"Infraspinatus, Teres Minor"
Shoulder External Rotation,Suspended,Isolated,Grasp suspension handles and position bent elbows to each sides of waist.,"Pull handles apart from each side, while keeping fixed elbow position and body and legs straight throughout movement. Raise forward so handles are to each side of body. Return back until handles come back together in front of body. Repeat.",Back,1,"Infraspinatus, Teres Minor"
Standing Shoulder Internal Rotation,Cable,Isolated,Grasp suspension handles and position bent elbows to each sides of waist.,"Pull handles apart from each side, while keeping fixed elbow position and body and legs straight throughout movement. Raise forward so handles are to each side of body. Return back until handles come back together in front of body. Repeat.",Back,1,"Subscapularis, Pectoralis Major Sternal, Pectoralis Major Clavicular"
Shoulder Internal Rotation,Dumbbell,Isolated,Grasp suspension handles and position bent elbows to each sides of waist.,"Pull handles apart from each side, while keeping fixed elbow position and body and legs straight throughout movement. Raise forward so handles are to each side of body. Return back until handles come back together in front of body. Repeat.",Back,1,"Subscapularis, Pectoralis Major Sternal, Pectoralis Major Clavicular"
Shoulder Internal Rotation:  on floor,Dumbbell,Isolated,Grasp suspension handles and position bent elbows to each sides of waist.,"Pull handles apart from each side, while keeping fixed elbow position and body and legs straight throughout movement. Raise forward so handles are to each side of body. Return back until handles come back together in front of body. Repeat.",Back,1,"Subscapularis, Pectoralis Major Sternal, Pectoralis Major Clavicular"
Shoulder Internal Rotation,Lever (plate loaded),Isolated,Grasp suspension handles and position bent elbows to each sides of waist.,"Pull handles apart from each side, while keeping fixed elbow position and body and legs straight throughout movement. Raise forward so handles are to each side of body. Return back until handles come back together in front of body. Repeat.",Back,1,"Subscapularis, Pectoralis Major Sternal, Pectoralis Major Clavicular"
Shoulder Internal Rotation​​​​​​​,Lever (selectorized),Isolated,Grasp suspension handles and position bent elbows to each sides of waist.,"Pull handles apart from each side, while keeping fixed elbow position and body and legs straight throughout movement. Raise forward so handles are to each side of body. Return back until handles come back together in front of body. Repeat.",Back,1,"Subscapularis, Pectoralis Major Sternal, Pectoralis Major Clavicular"
